id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,cummulative_assessment_results,clicks_forumng,clicks_homepage,clicks_oucontent,clicks_quiz,clicks_subpage,assessment_score
29335,M,West Midlands Region,Lower Than A Level,40-50%,0-35,0,60,FALSE,Distinction,70.75,1251,1213,2213,1100,547,97
42616,F,Scotland,Lower Than A Level,80-90%,35-55,0,60,FALSE,Pass,53.25,1182,591,550,125,192,82
50487,F,East Anglian Region,Lower Than A Level,90-100%,0-35,1,60,FALSE,Pass,60.75,384,475,1593,914,377,89
51485,M,West Midlands Region,Lower Than A Level,10-20%,0-35,0,120,FALSE,Distinction,68.5,77,209,1060,84,190,98
51576,F,London Region,Lower Than A Level,10-20%,0-35,0,90,FALSE,Distinction,59.5,589,436,1882,1194,299,98
53166,F,North Region,Lower Than A Level,40-50%,0-35,0,60,FALSE,Pass,46.75,219,240,962,658,195,76
54882,M,Scotland,Lower Than A Level,30-40%,0-35,1,60,FALSE,Fail,38,41,84,254,2,86,5
57844,M,South West Region,A Level or Equivalent,90-100%,0-35,0,60,FALSE,Pass,56.75,23,116,588,12,130,86
58640,M,Scotland,A Level or Equivalent,50-60%,0-35,0,90,TRUE,Pass,43.25,367,234,221,41,143,74
66451,M,Scotland,A Level or Equivalent,50-60%,0-35,0,60,FALSE,Pass,55.75,160,103,79,0,132,87
68107,F,London Region,A Level or Equivalent,50-60%,0-35,0,60,TRUE,Pass,66.75,236,288,1672,259,263,95
70495,M,Scotland,Lower Than A Level,50-60%,0-35,0,60,FALSE,Distinction,64,799,613,1611,729,314,95
71252,M,North Western Region,Lower Than A Level,0-10%,0-35,0,60,TRUE,Pass,56.75,99,87,78,0,82,82
77744,M,North Western Region,A Level or Equivalent,40-50%,0-35,0,60,FALSE,Pass,61.25,90,308,626,556,246,84
79261,M,South Region,A Level or Equivalent,90-100%,0-35,0,90,FALSE,Pass,61.5,161,223,433,1,146,82
86669,M,East Midlands Region,A Level or Equivalent,40-50%,0-35,1,220,FALSE,Pass,67,449,179,594,622,156,82
90901,M,South Region,HE Qualification,20-30%,35-55,0,120,FALSE,Distinction,64.25,89,163,694,0,132,91
95746,M,East Anglian Region,A Level or Equivalent,80-90%,0-35,1,60,FALSE,Pass,59.5,1,42,124,0,24,82
100064,F,West Midlands Region,A Level or Equivalent,0-10%,35-55,0,60,FALSE,Pass,69.75,504,581,2467,279,450,89
100788,M,Scotland,HE Qualification,80-90%,0-35,0,90,FALSE,Pass,60.25,234,311,1066,341,172,87
101420,M,Yorkshire Region,Lower Than A Level,30-40%,0-35,0,120,FALSE,Pass,69.25,348,590,1970,980,343,92
102028,M,South Region,A Level or Equivalent,90-100%,35-55,1,60,FALSE,Distinction,65,814,487,1140,594,274,83
102343,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,60,FALSE,Pass,53.5,268,360,1193,1059,325,88
104213,M,South West Region,A Level or Equivalent,70-80%,0-35,0,60,FALSE,Distinction,68.5,141,193,808,314,180,98
105629,M,South East Region,A Level or Equivalent,10-20%,35-55,0,60,FALSE,Pass,64.75,470,721,1742,1139,353,92
110881,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,FALSE,Pass,52.5,280,541,1371,735,305,82
113565,M,Wales,A Level or Equivalent,80-90%,0-35,0,180,FALSE,Pass,67,173,186,516,0,251,83
114500,M,London Region,Lower Than A Level,50-60%,35-55,0,120,TRUE,Fail,26.25,211,369,1274,516,236,64
116808,M,Scotland,HE Qualification,80-90%,55<=,0,60,FALSE,Distinction,70,4884,1037,2106,437,545,95
117232,M,Ireland,A Level or Equivalent,20-30%,0-35,0,90,FALSE,Pass,59,33,246,208,305,188,76
118050,M,East Anglian Region,Lower Than A Level,60-70%,0-35,0,90,FALSE,Pass,49.75,234,126,110,65,59,80
127642,F,Yorkshire Region,A Level or Equivalent,20-30%,35-55,1,120,FALSE,Pass,60.75,116,210,510,189,164,88
132453,M,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,60,FALSE,Pass,41.25,96,111,311,0,183,66
133019,M,Wales,Lower Than A Level,30-40%,0-35,0,60,FALSE,Pass,58,446,348,1309,440,353,94
133185,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,FALSE,Pass,64,318,527,1139,533,300,79
136894,M,West Midlands Region,A Level or Equivalent,40-50%,0-35,0,90,TRUE,Pass,51.75,512,388,620,702,167,53
137903,M,South East Region,Lower Than A Level,90-100%,35-55,1,60,FALSE,Pass,41.5,646,796,2156,80,382,51
139190,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,150,FALSE,Pass,63,201,416,833,713,151,91
141648,F,South Region,A Level or Equivalent,60-70%,0-35,0,120,FALSE,Pass,61.75,735,598,1134,592,453,85
146738,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,FALSE,Distinction,65.75,169,312,1723,328,283,93
152587,F,South Region,Lower Than A Level,40-50%,35-55,1,90,FALSE,Pass,56.25,639,495,1766,745,383,81
154059,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,180,FALSE,Pass,37.25,73,140,365,27,126,63
154191,M,Scotland,Lower Than A Level,30-40%,35-55,0,60,FALSE,Distinction,64.75,124,275,837,510,174,89
155298,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,FALSE,Pass,59.75,54,121,572,307,105,83
156171,M,South West Region,A Level or Equivalent,60-70%,0-35,0,60,FALSE,Pass,53,217,161,563,817,159,76
160946,M,South Region,HE Qualification,90-100%,0-35,0,60,FALSE,Pass,60.75,52,68,306,0,117,77
162809,M,Yorkshire Region,A Level or Equivalent,70-80%,0-35,0,60,FALSE,Pass,58.5,349,357,478,815,152,89
163120,M,Scotland,A Level or Equivalent,60-70%,35-55,0,60,FALSE,Pass,56.75,872,310,979,161,250,86
168229,M,North Western Region,A Level or Equivalent,70-80%,35-55,0,90,FALSE,Distinction,70.5,933,753,2302,1072,570,98
170030,M,Wales,HE Qualification,20-30%,0-35,1,60,FALSE,Distinction,69,55,158,474,3,161,73
170943,M,London Region,A Level or Equivalent,60-70%,0-35,1,150,FALSE,Pass,58.75,211,319,717,650,291,81
171692,F,Wales,A Level or Equivalent,0-10%,0-35,0,90,FALSE,Fail,34.75,171,212,389,98,180,65
175453,M,Scotland,HE Qualification,30-40%,0-35,0,60,FALSE,Pass,48.75,91,144,157,660,165,62
177568,M,South Region,A Level or Equivalent,80-90%,0-35,2,60,FALSE,Pass,60.5,37,47,142,2,65,45
180974,M,South West Region,A Level or Equivalent,40-50%,35-55,1,60,FALSE,Pass,53,152,576,1627,786,274,82
184473,M,Scotland,A Level or Equivalent,50-60%,0-35,0,60,FALSE,Pass,33.25,159,82,215,0,50,51
187199,M,North Region,Lower Than A Level,20-30%,0-35,0,60,FALSE,Pass,57.75,82,154,425,422,123,83
192680,M,South West Region,Lower Than A Level,30-40%,0-35,0,90,FALSE,Pass,61.75,542,455,1211,615,363,95
199361,M,North Western Region,Lower Than A Level,40-50%,0-35,0,60,FALSE,Distinction,65.5,576,473,963,989,200,87
228695,M,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,120,FALSE,Pass,50.5,95,89,389,0,88,56
231024,M,South Region,Lower Than A Level,80-90%,35-55,0,60,TRUE,Pass,37.25,327,82,668,1203,397,48
231606,M,Wales,Lower Than A Level,60-70%,35-55,0,60,FALSE,Fail,46.75,353,420,2252,1072,481,65
232347,M,South Region,A Level or Equivalent,60-70%,0-35,0,180,FALSE,Pass,61.25,165,455,1136,583,247,81
232660,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,60,FALSE,Distinction,70.5,1055,738,1134,862,250,91
232764,F,West Midlands Region,A Level or Equivalent,60-70%,0-35,2,90,FALSE,Pass,55.75,401,424,830,570,216,71
232856,M,East Anglian Region,Lower Than A Level,80-90%,35-55,0,60,FALSE,Distinction,64,268,486,1816,620,465,87
233087,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,90,TRUE,Distinction,71.5,792,531,1200,2330,359,96
235670,M,London Region,Lower Than A Level,80-90%,35-55,0,90,FALSE,Pass,57.75,67,219,222,453,111,74
235978,M,London Region,A Level or Equivalent,60-70%,35-55,0,90,FALSE,Pass,60,415,545,2302,574,453,88
238150,M,Scotland,A Level or Equivalent,80-90%,35-55,0,60,FALSE,Pass,63.75,5237,117,2461,852,404,89
241039,M,West Midlands Region,Lower Than A Level,40-50%,35-55,0,60,FALSE,Pass,53.25,283,327,590,124,306,81
242491,M,East Midlands Region,A Level or Equivalent,0-10%,0-35,1,120,TRUE,Distinction,66,127,418,1181,615,222,91
245283,M,London Region,A Level or Equivalent,0-10%,35-55,0,120,FALSE,Pass,58.75,153,240,886,274,158,79
248882,M,London Region,HE Qualification,20-30%,35-55,0,60,FALSE,Pass,64,1420,701,1790,475,540,84
249750,F,Scotland,HE Qualification,10-20%,0-35,0,90,FALSE,Pass,53.5,212,124,307,307,170,56
251405,M,South West Region,A Level or Equivalent,50-60%,0-35,1,60,FALSE,Pass,63,125,170,847,350,216,47
253767,M,South East Region,A Level or Equivalent,90-100%,0-35,0,270,FALSE,Pass,49.5,14,221,1079,507,237,64
254446,M,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,FALSE,Pass,61.5,414,405,849,886,244,82
255310,M,East Midlands Region,HE Qualification,80-90%,0-35,0,90,FALSE,Pass,58.25,591,352,1175,369,259,89
262403,F,South Region,A Level or Equivalent,60-70%,0-35,0,120,FALSE,Pass,49.25,44,438,1621,518,286,74
264164,M,Scotland,A Level or Equivalent,60-70%,35-55,0,60,FALSE,Distinction,65,81,84,243,2,118,93
265268,M,North Western Region,Lower Than A Level,60-70%,0-35,1,120,FALSE,Pass,60,1005,623,1266,470,282,93
265978,M,North Region,Lower Than A Level,NA,35-55,0,60,FALSE,Pass,51,31,108,221,79,118,84
268153,M,North Western Region,A Level or Equivalent,60-70%,0-35,0,90,FALSE,Pass,51.25,361,522,886,674,255,70
269508,M,Ireland,HE Qualification,NA,35-55,0,60,FALSE,Pass,70.25,279,198,662,362,190,100
273442,M,North Region,A Level or Equivalent,NA,0-35,0,60,FALSE,Pass,60.75,333,410,846,719,287,83
273782,M,Wales,HE Qualification,90-100%,35-55,0,60,FALSE,Pass,65.25,629,629,868,504,293,94
276388,M,South East Region,A Level or Equivalent,20-30%,0-35,0,60,FALSE,Pass,46.75,275,380,505,656,204,44
276808,F,North Western Region,A Level or Equivalent,10-20%,0-35,1,60,FALSE,Pass,64,138,223,1038,0,199,77
278955,M,East Midlands Region,Lower Than A Level,30-40%,0-35,0,60,FALSE,Pass,62.25,21,117,228,76,67,86
279085,M,London Region,HE Qualification,80-90%,35-55,0,60,FALSE,Pass,56.75,401,324,1589,519,334,73
279750,M,Scotland,Lower Than A Level,60-70%,35-55,0,60,FALSE,Pass,63.75,862,952,1906,205,527,92
281638,F,Ireland,A Level or Equivalent,20-30%,0-35,0,90,FALSE,Pass,60,362,414,737,465,176,85
282975,F,London Region,A Level or Equivalent,90-100%,0-35,0,60,FALSE,Pass,54.75,251,356,1106,752,273,88
283953,F,London Region,A Level or Equivalent,90-100%,0-35,0,60,FALSE,Distinction,67,313,395,1220,122,236,88
284395,M,London Region,A Level or Equivalent,30-40%,35-55,1,60,FALSE,Pass,51.5,244,492,1726,478,339,91
289221,F,South Region,A Level or Equivalent,80-90%,0-35,0,90,FALSE,Pass,33.75,267,588,2281,1053,414,62
